課,Khoá niên khoá; KA
日,Nhật ngày; mặt trời NICHI; JITSU
第,Đệ đệ nhất; DAI
人,Nhân người JIN; NIN
大,Đại lớn DAI; TAI
何,Hà cái gì KA
行,Hành đi; lữ hành KOU; GYOU; AN
物,Vật động vật BUTSU; MOTSU
子,Tử con SHI; SU
時,Thời thời gian JI
持,Trì duy trì JI
手,Thủ cái tay SHU
一,Nhất số 1 ICHI; ITSU
見,Kiến nhìn KEN
来,Lai đến; RAI
会,Hội gặp gỡ KAI; E
生,Sinh học sinh SEI; SHOU
本,Bản sách; Nhật Bản HON
話,Thoại hội thoại; đàm thoại WA
電,Điện điện thoại; đồ điện DEN
間,Gian ở giữa; trung gian KAN; KEN
車,Xa xe SHA
書,Thư sách SHO
曜,Diệu ngày YOU
場,Trường công trường JOU
月,Nguyệt trăng GETSU; GATSU
年,Niên năm NEN
学,Học học sinh GAKU
今,Kim bây giờ KON; KIN
出,Xuất xuất ngoại SHUTSU; SUI
下,Hạ bên dưới KA; GE
社,Xã xã hội SHA
国,Quốc quốc gia KOKU
気,Khí khí chất KI; KE
切,Thiết cắt SETSU; SAI
館,quán hội quán KAN
所,Sở nơi chốn SHO
番,Phiên lần lượt BAN
金,Kim vàng KIN; KON
家,Gia gia đình; nhà KA; KE
屋,ốc cao ốc OKU
休,Hưu nghỉ hưu KYUU
食,Thực thực phẩm SHOKU; JIKI
部,Bộ bộ trưởng BU
先,Tiên trước; tiên sinh SEN
研,Nghiên nghiên cứu KEN
連,Liên liên lạc REN
術,Thuật kĩthuật; JUTSU
修,Tu tu sửa; SHUU; SHU
語,Ngữ ngôn ngữ GO
長,Trường dài CHOU
調,Điều điều hành CHOU
事,Sự sự việc; JI; ZU
習,Tập luyện tập; SHUU
週,Chu tuần SHUU
分,Phân phút BUN; FUN; BU
方,Phương phương hướng HOU
地,Địa đất; địa cầu CHI; JI
入,Nhập vào trong; nhập khẩu NYUU
便,Tiện tiện lợi BEN; BIN
題,Đề vấn đề DAI
園,Viên công viên EN
住,Trú cư trú JUU
花,Hoa bông hoa KA
晩,Vãn buổi tối BAN
度,Độ nhiệt độ DO; TO; TAKU
明,Minh sáng; MEI; MYOU
城,Thành thành lũy JOU
階,giai giai cấp KAI
紙,Chỉ tờ giấy SHI
員,viên xã viên IN
者,Giả người SHA
駅,dịch nhà ga EKI
午,Ngọ giữa trưa GO
朝,Triều buổi sáng CHOU
上,Thượng bên trên JOU; SHOU
前,Tiền phía trước; trước kia ZEN
役,Dịch dịch vụ EKI; YAKU
付,Phó dính; FU
風,Phong gió FUU; FU
待,Đãi chiêu đãi TAI
肉,Nhục thịt NIKU
目,Mục mắt; mục lục MOKU; BOKU
妹,Muội em gái MAI
使,Sử sử dụng SHI
立,Lập đứng RITSU; RYUU
新,Tân mới SHIN
図,Đồ bản đồ ZU; TO
阪,#N/A
変,Biến biến hóa HEN
右,Hữu bên phải U; YUU
洗,Tiển tẩy rửa SEN
名,Danh tên; danh nhân MEI; MYOU
飯,Phạn cơm HAN
号,Hiệu số hiệu GOU
教,Giáo giáo dục; giáo viên KYOU
山,Sơn núi SAN
符,Phù phù hiệu FU
楽,Lạc vui vẻ GAKU; RAKU
高,Cao chiều cao; cao học KOU
土,Thổ đất; thổ nhưỡng DO; TO
白,Bạch màu trắng KAKU; BYAKU
理,Lý vật lý; xử lý RI
言,Ngôn ngôn ngữ GEN; GON
少,Thiểu ít; thiểu số SHOU
失,Thất thất bại SHITSU
外,Ngoại bên ngoài GAI; GE
飲,ẩm ẩm thực IN
旅,Lữ du lịch RYO
礼,Lễ lễ nghi REI; RAI
兄,Huynh anh trai KEI; KYOU
牛,Ngưu con bò GYUU
茶,Trà trà đạo CHA; SA
近,Cận gần KIN
歌,Ca hát KA
乗,Thừa lên xe JOU
弟,Đệ em trai TEI; DAI; DE
転,Chuyển di chuyển TEN
歩,Bộ đường bộ; đi bộ HO; BU; FU
母,Mẫu mẹ BO
速,Tốc tốc độ SOKU
登,Đăng leo lên; TOU; TO
公,Công công cộng KOU
達,Đạt hữu đạt TATSU
次,Thứ tiếp theo JI; SHI
字,Tự chữ JI
宿,Túc nhà trọ SHUKU
女,Nữ con gái JO; NYO; NYOU
族,Tộc gia tộc ZOKU
急,cấp khẩn cấp KYUU
売,Mại bán BAI
辞,Từ từ điển JI
議,Nghị hội nghị GI
段,Đoạn giai đoạn DAN
強,Cường cường lực KYOU; GOU
病,Bệnh bệnh tật BYOU; HEI
初,Sơ sơ lược SHO
歳,Tuế tuổi SAI; SEI
願,Nguyện ước nguyện GAN
違,Vi sai khác I
証,Chứng chứng minh SHOU
無,Vô vô lý MU; BU
問,Vấn hỏi MON
着,Trước đến nơi CHAKU; JAKU
室,Thất phòng SHITSU
自,Tự tự thân; JI; SHI
技,Kĩkĩthuật GI
後,Hậu phía sau GO; KOU
道,Đạo đường đi DOU; TOU
美,Mỹ mỹ thuật BI
昼,Trú buổi trưa CHUU
世,Thế thế giới SEI; SE
片,Phiến một mảnh HEN
毎,Mỗi mỗi ngày MAI
当,Đương đương thời TOU
邪,Tà yêu tà JA
夫,Phu chồng FU; FUU
忙,Mang bận rộn BOU
残,Tàn còn lại ZAN
質,Chất hỏi; SHITSU; SHICHI; CHI
練,Luyện luyện tập REN
困,Khốn khó khăn KON
呂,#N/A
杯,Bôi chén HAI
安,an an toàn AN
細,Tế gầy SAI
冷,Lãnh lạnh REI
丈,Trượng trượng phu JOU
交,Giao cắt nhau KOU
男,Nam con trai DAN; NAN
張,Trương kéo dài CHOU
味,Vị hương vị MI
眠,Miên ngủ;nhắm mắt MIN
早,Tảo nhanh chóng SOU; SAQ
障,Chướng chướng ngại SHOU
町,Đinh thị trấn CHOU
他,Tha người lạ TA
試,Thí thí sinh; SHI
相,Tương tương tự SOU; SHOU
故,Cố sự cố; KO
音,Âm âm thanh ON; IN
約,Ước ước lượng YAKU
料,Liệu nguyên liệu RYOU
痛,Thống đau TSUU
頭,Đầu cái đầu TOU; ZU; TO
意,ý ý chí I
熱,Nhiệt nóng NETSU
禁,Cấm nghiêm cấm KIN
煙,Yên khói EN
京,Kinh kinh đô KYOU; KEI
広,Quảng rộng KOU
寂,Tịch lặng yên JAKU; SEKI
品,Phẩm sản phẩm HIN
歯,Xỉ răng SHI
身,Thân bản thân SHIN
服,Phục trang phục FUKU
疲,Bì mệt mỏi HI
泳,vịnh bơi EI
信,Tín tín dụng SHIN
降,Giáng rơi; KOU
葉,Diệp cái lá YOU
曲,khúc khúc nhạc KYOKU
始,Thủy bắt đầu SHI
田,Điền ruộng DEN
東,Đông phía đông TOU
狭,Hiệp hẹp KYOU
釣,Điếu câu cá CHOU
録,Lục kỷ lục; ROKU
知,Tri tri thức; hiểu biết CHI
回,Hồi vòng quanh; đi quanh KAI; E
暗,ám tối AN
留,Lưu lưu lại; RYUU; RU
天,Thiên trời TEN
